#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.171969E+00   0.119744E+07   0.118978E+07  -0.248799E+01  -0.251018E+01   0.585951E+05   0.119111E+07   0.119623E+07   0.119111E+07  -0.284543E-01   0.731064E+06   0.730941E+06   0.238370E+00
   0.177362E+00   0.115625E+07   0.114934E+07  -0.225868E+01  -0.227882E+01   0.538515E+05   0.115020E+07   0.115516E+07   0.115020E+07  -0.274770E-01   0.705958E+06   0.705847E+06   0.208586E+00
   0.182756E+00   0.112049E+07   0.111439E+07  -0.206173E+01  -0.208011E+01   0.497304E+05   0.111471E+07   0.111953E+07   0.111471E+07  -0.266293E-01   0.684181E+06   0.684082E+06   0.180063E+00
   0.188149E+00   0.108712E+07   0.108172E+07  -0.188744E+01  -0.190427E+01   0.460309E+05   0.108158E+07   0.108627E+07   0.108158E+07  -0.258379E-01   0.663849E+06   0.663761E+06   0.156454E+00
   0.193543E+00   0.105348E+07   0.104859E+07  -0.172861E+01  -0.174402E+01   0.426012E+05   0.104816E+07   0.105271E+07   0.104816E+07  -0.250394E-01   0.643337E+06   0.643256E+06   0.139715E+00
   0.198937E+00   0.101784E+07   0.101322E+07  -0.158084E+01  -0.159494E+01   0.393491E+05   0.101271E+07   0.101712E+07   0.101271E+07  -0.241925E-01   0.621581E+06   0.621503E+06   0.129943E+00
   0.204330E+00   0.979954E+06   0.975379E+06  -0.144270E+01  -0.145556E+01   0.362526E+05   0.974985E+06   0.979236E+06   0.974985E+06  -0.232914E-01   0.598430E+06   0.598353E+06   0.125725E+00
   0.209724E+00   0.940908E+06   0.936232E+06  -0.131484E+01  -0.132656E+01   0.333398E+05   0.936087E+06   0.940174E+06   0.936087E+06  -0.223621E-01   0.574558E+06   0.574479E+06   0.124777E+00
   0.215118E+00   0.902370E+06   0.897540E+06  -0.119849E+01  -0.120918E+01   0.306530E+05   0.897686E+06   0.901611E+06   0.897686E+06  -0.214448E-01   0.550991E+06   0.550910E+06   0.124661E+00
   0.220511E+00   0.865957E+06   0.861008E+06  -0.109451E+01  -0.110427E+01   0.282254E+05   0.861407E+06   0.865179E+06   0.861407E+06  -0.205781E-01   0.528726E+06   0.528644E+06   0.123390E+00
   0.225905E+00   0.832934E+06   0.827969E+06  -0.100307E+01  -0.101202E+01   0.260725E+05   0.828521E+06   0.832154E+06   0.828521E+06  -0.197925E-01   0.508543E+06   0.508462E+06   0.119811E+00
   0.231299E+00   0.803977E+06   0.799122E+06  -0.923570E+00  -0.931804E+00   0.241882E+05   0.799703E+06   0.803214E+06   0.799703E+06  -0.191041E-01   0.490856E+06   0.490777E+06   0.113702E+00
   0.236692E+00   0.779006E+06   0.774376E+06  -0.854583E+00  -0.862202E+00   0.225444E+05   0.774873E+06   0.778279E+06   0.774873E+06  -0.185109E-01   0.475616E+06   0.475541E+06   0.105626E+00
   0.242086E+00   0.757298E+06   0.752969E+06  -0.794193E+00  -0.801274E+00   0.210976E+05   0.753303E+06   0.756618E+06   0.753303E+06  -0.179956E-01   0.462378E+06   0.462308E+06   0.966255E-01
   0.247480E+00   0.737770E+06   0.733762E+06  -0.740390E+00  -0.746991E+00   0.198002E+05   0.733907E+06   0.737140E+06   0.733907E+06  -0.175323E-01   0.450473E+06   0.450408E+06   0.878559E-01
   0.252873E+00   0.719235E+06   0.715517E+06  -0.691357E+00  -0.697521E+00   0.186080E+05   0.715496E+06   0.718651E+06   0.715496E+06  -0.170924E-01   0.439173E+06   0.439112E+06   0.802743E-01
   0.258267E+00   0.700663E+06   0.697167E+06  -0.645688E+00  -0.651445E+00   0.174863E+05   0.697037E+06   0.700114E+06   0.697037E+06  -0.166515E-01   0.427844E+06   0.427786E+06   0.744360E-01
   0.263661E+00   0.681465E+06   0.678107E+06  -0.602575E+00  -0.607947E+00   0.164157E+05   0.677942E+06   0.680938E+06   0.677942E+06  -0.161953E-01   0.416124E+06   0.416068E+06   0.704357E-01
   0.269054E+00   0.661618E+06   0.658319E+06  -0.561804E+00  -0.566813E+00   0.153926E+05   0.658190E+06   0.661100E+06   0.658190E+06  -0.157235E-01   0.404001E+06   0.403946E+06   0.679704E-01
